area,year,quarter,rent_psf,vacancy_rate,takeup_sqft,sentiment
Mayfair,2024,Q1,185,3.2,120000,Tightening
Mayfair,2024,Q2,188,3.0,135000,Tightening
Mayfair,2024,Q3,190,2.8,140000,Tightening
Soho,2024,Q1,145,4.8,210000,Strong
Soho,2024,Q2,148,4.5,225000,Strong
Soho,2024,Q3,150,4.2,240000,Strong
Fitzrovia,2024,Q1,135,5.2,175000,Improving
Fitzrovia,2024,Q2,138,5.0,185000,Improving
Victoria,2024,Q1,92,7.1,95000,Neutral
Victoria,2024,Q2,95,6.8,105000,Neutral
Midtown,2024,Q1,110,6.2,145000,Balanced
Midtown,2024,Q2,112,6.0,150000,Balanced
